country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_litres_of_alcohol_consumed
Afghanistan,0,0,0,0,0
Albania,89,132,54,4.9,49.245
Algeria,25,0,14,0.7,12.025
Andorra,245,138,312,12.4,157.425
Angola,217,57,45,5.9,92.235
Antigua & Barbuda,102,128,45,4.9,52.185
Argentina,193,25,221,8.3,116.115
Armenia,21,179,11,3.8,17.655
Australia,261,72,212,10.4,141.955
Austria,279,75,191,9.7,144.045
Azerbaijan,21,46,5,1.3,10.78
Bahamas,122,176,51,6.3,62.935
Bahrain,42,63,7,2,19.71
Bangladesh,0,0,0,0,0
Barbados,143,173,36,6.3,67.69
Belarus,142,373,42,14.4,81.485
Belgium,295,84,212,10.5,154.425
Belize,263,114,8,6.8,104.415
Benin,34,4,13,1.1,15.545
Bhutan,23,0,0,0.4,8.565
Bolivia,167,41,8,3.8,65.51
Bosnia-Herzegovina,76,173,8,4.6,37.305
Botswana,173,35,35,5.4,73.815
Brazil,245,145,16,7.2,100.6
Brunei,31,2,1,0.6,11.83
Bulgaria,231,252,94,10.3,115.055
Burkina Faso,25,7,7,4.3,14.575
Burundi,88,0,0,6.3,37.54
Cote d'Ivoire,37,1,7,4,18.385
Cabo Verde,144,56,16,4,59.32
Cambodia,57,65,1,2.2,24.235
Cameroon,147,1,4,5.8,58.71
Canada,240,122,100,8.2,113.95
Central African Republic,17,2,1,1.8,8.06
Chad,15,1,1,0.4,5.925
Chile,130,124,172,7.6,86.95
China,79,192,8,5,39.245
Colombia,159,76,3,4.2,63.07
Comoros,1,3,1,0.1,0.705
Democratic Republic of Congo,76,1,9,1.7,30.28
Cook Islands,0,254,74,5.9,25.2
Costa Rica,149,87,11,4.4,61.395
Croatia,230,87,254,10.2,138.475
Cuba,93,137,5,4.2,41.515
Cyprus,192,154,113,8.2,99.985
Czech Republic,361,170,134,11.8,167.655
North Korea,0,0,0,0,0
DR Congo,32,3,1,2.3,13.91
Denmark,224,81,278,10.4,140.595
Djibouti,15,44,3,1.1,8.05
Dominica,52,286,26,6.6,36.76
Dominican Republic,193,147,9,6.2,79.965
Ecuador,162,74,3,4.2,64.085
Egypt,6,4,1,0.2,2.605
El Salvador,52,69,2,2.2,22.735
Equatorial Guinea,92,0,233,5.8,79.235
Eritrea,18,0,0,0.5,6.89
Estonia,224,194,59,9.5,104.195
Ethiopia,20,3,0,0.7,7.875
Fiji,77,35,1,2,30.385
Finland,263,133,97,10,123.665
France,127,151,370,11.8,125.41
Gabon,347,98,59,8.9,144.86
Gambia,8,0,1,2.4,5.415
Georgia,52,100,149,5.4,52.435
Germany,346,117,175,11.3,167.68
Ghana,31,3,10,1.8,14.63
Greece,133,112,218,8.3,96.465
Grenada,199,438,28,11.9,98.395
Guatemala,53,69,2,2.2,23.09
Guinea,9,0,2,0.2,3.745
Guinea-Bissau,28,31,21,2.5,16.89
Guyana,93,302,1,7.1,47.84
Haiti,1,326,1,5.9,14.58
Honduras,69,98,2,3,30.295
Hungary,234,215,185,11.3,132.12
Iceland,233,61,78,6.6,104.49
India,9,114,0,2.2,8.245
Indonesia,5,1,0,0.1,1.9
Iran,0,0,0,0,0
Iraq,9,3,0,0.2,3.47
Ireland,313,118,165,11.4,154.34
Israel,63,69,9,2.5,28.165
Italy,85,42,237,6.5,79.2
Jamaica,82,97,9,3.4,36.51
Japan,77,202,16,7,42.185
Jordan,6,21,1,0.5,3.33
Kazakhstan,124,246,12,6.8,59.07
Kenya,58,22,2,1.8,23.29
Kiribati,21,34,1,1,9.48
Kuwait,0,0,0,0,0
Kyrgyzstan,31,97,6,2.4,16.88
Laos,62,0,123,6.2,49.735
Latvia,281,216,62,10.5,126.505
Lebanon,20,55,31,1.9,15.8
Lesotho,82,29,0,2.8,32.635
Liberia,19,152,2,3.1,13.995
Libya,0,0,0,0,0
Lithuania,343,244,56,12.9,150.565
Luxembourg,236,133,271,11.4,145.93
Madagascar,26,15,4,0.8,11.105
Malawi,8,11,1,1.5,4.79
Malaysia,13,4,0,0.3,5.015
Maldives,0,0,0,0,0
Mali,5,1,1,0.6,2.575
Malta,149,100,120,6.6,82.995
Marshall Islands,0,0,0,0,0
Mauritania,0,0,0,0,0
Mauritius,98,31,18,2.6,41.315
Mexico,238,68,5,5.5,92.565
Micronesia,62,50,18,2.3,28.71
Monaco,0,0,0,0,0
Mongolia,77,189,8,4.9,38.36
Montenegro,31,114,128,4.9,41.155
Morocco,12,6,10,0.5,6.66
Mozambique,47,18,5,1.3,19.31
Myanmar,5,1,0,0.1,1.9
Namibia,376,3,1,6.8,140.53
Nauru,49,0,8,1,19.795
Nepal,5,6,0,0.2,2.125
Netherlands,251,88,190,9.4,133.955
New Zealand,203,79,175,9.3,113.965
Nicaragua,78,118,1,3.5,34.315
Niger,3,2,1,0.1,1.39
Nigeria,42,5,2,9.1,24.485
Niue,188,200,7,7,79.965
Norway,169,71,129,6.7,91.045
Oman,22,16,1,0.7,9.085
Pakistan,0,0,0,0,0
Palau,306,63,23,6.9,121.13
Panama,285,104,18,7.2,114.125
Papua New Guinea,44,39,1,1.5,18.27
Paraguay,213,117,74,7.3,98.79
Peru,163,160,21,6.1,71.64
Philippines,71,186,1,4.6,34.63
Poland,343,215,56,10.9,147.84
Portugal,194,67,339,11,140.87
Qatar,1,42,7,0.9,3.53
South Korea,140,16,9,9.8,61.475
Moldova,109,226,18,6.3,53.795
Romania,297,122,167,10.4,148.11
Russia,247,326,73,11.5,120.11
Rwanda,43,2,0,6.8,22.115
St. Kitts & Nevis,194,205,32,7.7,87.295
St. Lucia,171,315,71,10.1,91.105
St. Vincent & the Grenadines,120,221,11,6.3,56.35
Samoa,105,18,24,2.6,44.525
San Marino,0,0,0,0,0
Sao Tome & Principe,56,38,140,4.2,49.53
Saudi Arabia,0,5,0,0.1,0.225
Senegal,9,1,7,0.3,4.745
Serbia,283,131,127,9.6,135.565
Seychelles,157,25,51,4.1,69.385
Sierra Leone,25,3,2,6.7,16
Singapore,60,12,11,1.5,25.025
Slovakia,196,293,116,11.4,108.605
Slovenia,270,51,276,10.6,156.025
Solomon Islands,56,11,1,1.2,21.53
Somalia,0,0,0,0,0
South Africa,225,76,81,8.2,104.15
Spain,284,157,112,10,134.345
Sri Lanka,16,104,0,2.2,10.48
Sudan,8,13,0,1.7,4.865
Suriname,128,178,7,5.6,56.715
Swaziland,90,2,2,4.7,37.05
Sweden,152,60,186,7.2,95.21
Switzerland,185,100,280,10.2,127.375
Syria,5,35,16,1,6.45
Tajikistan,2,15,0,0.3,1.385
Thailand,99,258,1,6.4,48.17
Macedonia,106,27,86,3.9,57.255
Timor-Leste,1,1,4,0.1,1.18
Togo,36,2,19,1.3,17.455
Tonga,36,21,5,1.1,15.28
Trinidad & Tobago,197,156,7,6.4,81.46
Tunisia,51,3,20,1.3,22.98
Turkey,51,22,7,1.4,21.28
Turkmenistan,19,71,32,2.2,16.32
Tuvalu,6,41,9,1,5.73
Uganda,45,9,0,8.3,24.5
Ukraine,206,237,45,8.9,95.83
United Arab Emirates,16,135,5,2.8,12.73
United Kingdom,219,126,195,10.4,125.42
Tanzania,36,6,1,5.7,18.805
United States,249,158,84,8.7,115.745
Uruguay,115,35,220,6.6,86.8
Uzbekistan,25,101,8,2.4,15.2
Vanuatu,21,18,11,0.9,10.73
Venezuela,333,100,3,7.7,128.94
Vietnam,111,2,1,2,41.63
Yemen,6,0,0,0.1,2.23
Zambia,32,19,4,2.5,15.035
Zimbabwe,64,18,4,4.7,28.57
eSwatini,,,,,
Western Sahara,,,,,
Greenland,,,,,
